accno,delref,store_name,rep_code,rep_name,health_score,tier_code,tier_label,tier_emoji,freq_3m,freq_6m,freq_12m,freq_score,visits_6m,visits_per_month,days_since_purchase,cadence_score,n_cats_all,n_cats_12m,cats_12m,basket_score,sku_depth_score,sku_depth_detail,trend_slope_pct,trend_score,is_recovery
KM027,KM027,Maliks TA Power Build,AC,Aboo Cassim,85.0,growing,Active & Growing,🟢,3.67,4.34,4.41,100.0,29,4.83,4,100.0,11,11,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",100.0,100.0,Enamel:26.2%; Putty:75.0%; General:29.2%; Primers:27.5%; Waterproofing:18.4%; Woodcare:68.0%; Accessories:18.2%; QD Enamel:17.3%; PVA Paints:8.1%; Floor & Roof Paints:18.9%; Specialised Coatings:33.3%,-14.76,0.0,False
KS029,KS029,Patels Hardware,BV,Bhadresh Vallabh,81.3,growing,Active & Growing,🟢,1.34,2.17,2.67,54.2,10,1.67,79,83.3,11,10,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",94.5,79.1,Enamel:26.2%; Woodcare:68.0%; QD Enamel:17.3%; PVA Paints:5.2%; Primers:20.0%; Accessories:21.2%; Waterproofing:7.9%; General:4.2%; Specialised Coatings:25.0%; Floor & Roof Paints:2.7%,16.88,100.0,False
KP005,KP005,Patel (Nkomazi Imp. & Exp. CC),BV,Bhadresh Vallabh,80.9,growing,Active & Growing,🟢,1.67,2.51,3.16,62.7,23,3.83,7,100.0,10,10,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Waterproofing, Woodcare",90.9,100.0,Putty:62.5%; General:31.2%; Accessories:33.3%; PVA Paints:6.5%; Enamel:11.5%; Woodcare:72.0%; QD Enamel:15.4%; Primers:7.5%; Floor & Roof Paints:8.1%; Waterproofing:28.9%,0.58,52.9,False
KS019,KS019/2,SASELAMANI STORES,NP,Nikhil Panchal,79.1,growing,Active & Growing,🟢,0.67,1.5,1.58,37.5,28,4.67,38,100.0,10,10,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",90.9,89.9,PVA Paints:10.4%; Enamel:16.4%; Primers:22.5%; Woodcare:48.0%; General:37.5%; Accessories:27.3%; QD Enamel:21.2%; Waterproofing:23.7%; Specialised Coatings:8.3%; Floor & Roof Paints:9.5%,8.66,93.3,False
KS004,KS004,S.E.Z. Superette,BV,Bhadresh Vallabh,79.0,growing,Active & Growing,🟢,3.67,3.67,4.66,91.8,5,0.83,16,41.7,10,10,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",90.9,60.9,PVA Paints:12.0%; Enamel:15.8%; Floor & Roof Paints:13.5%; Waterproofing:10.5%; Woodcare:36.0%; Accessories:12.1%; QD Enamel:5.8%; Primers:5.0%; General:33.3%; Specialised Coatings:8.3%,7.82,89.1,False
KK021,KK021/2,Kit Kat Group (Pty) Ltd,NP,Nikhil Panchal,79.0,growing,Active & Growing,🟢,4.01,4.18,3.75,100.0,4,0.67,11,33.3,11,11,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",100.0,100.0,PVA Paints:51.1%; Floor & Roof Paints:35.1%; Primers:32.5%; Enamel:25.7%; Waterproofing:21.1%; Woodcare:84.0%; Putty:37.5%; Accessories:42.4%; General:45.8%; QD Enamel:22.1%; Specialised Coatings:33.3%,-4.7,26.5,False
KK022,KK022,Kit Kat Group (Pty) Ltd,NP,Nikhil Panchal,78.8,growing,Active & Growing,🟢,3.01,3.01,2.5,75.2,12,2.0,10,100.0,11,11,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",100.0,100.0,PVA Paints:38.8%; QD Enamel:22.1%; Enamel:25.1%; Floor & Roof Paints:33.8%; Primers:30.0%; Waterproofing:28.9%; Woodcare:84.0%; Accessories:39.4%; Putty:37.5%; General:41.7%; Specialised Coatings:50.0%,-11.92,0.0,False
KK021,KK021,Kit Kat Group (Pty) Ltd,NP,Nikhil Panchal,78.3,growing,Active & Growing,🟢,8.69,7.85,5.83,100.0,4,0.67,1,33.3,11,11,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",100.0,100.0,PVA Paints:52.4%; Floor & Roof Paints:39.2%; Enamel:26.2%; Specialised Coatings:50.0%; Primers:30.0%; Waterproofing:23.7%; Woodcare:84.0%; Putty:37.5%; General:47.9%; Accessories:42.4%; QD Enamel:23.1%,-5.56,22.2,False
KS011,KS011/1,Tiger build Hardware,NP,Nikhil Panchal,78.1,growing,Active & Growing,🟢,3.01,3.34,3.16,83.5,10,1.67,9,83.3,9,8,"Accessories, Enamel, PVA Paints, Primers, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",76.4,100.0,PVA Paints:2.6%; Enamel:18.6%; Primers:27.5%; Waterproofing:21.1%; Woodcare:72.0%; Specialised Coatings:25.0%; QD Enamel:14.4%; Accessories:30.3%,-0.86,45.7,False
KA100,KA100,Absolute Hardware And Tools,AC,Aboo Cassim,75.5,growing,Active & Growing,🟢,3.67,4.51,4.91,100.0,0,0.0,17,0.0,8,8,"Accessories, Enamel, Floor & Roof Paints, PVA Paints, Primers, QD Enamel, Specialised Coatings, Woodcare",72.7,91.0,Enamel:9.8%; Woodcare:76.0%; QD Enamel:23.1%; Primers:25.0%; Floor & Roof Paints:6.8%; PVA Paints:1.9%; Specialised Coatings:33.3%; Accessories:6.1%,21.91,100.0,False
KS017,KS017,Femac Hyper CC ta Spaza Hyper,NP,Nikhil Panchal,74.9,growing,Active & Growing,🟢,2.0,1.67,1.33,41.8,6,1.0,3,50.0,11,10,"Accessories, Enamel, Floor & Roof Paints, PVA Paints, Primers, Putty, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",94.5,90.6,Enamel:24.0%; Woodcare:76.0%; Putty:37.5%; QD Enamel:13.5%; PVA Paints:6.8%; Primers:22.5%; Specialised Coatings:8.3%; Waterproofing:15.8%; Accessories:15.2%; Floor & Roof Paints:6.8%,14.49,100.0,False
KE012,KE012,Easy Build Hardware,NP,Nikhil Panchal,74.8,growing,Active & Growing,🟢,0.67,1.5,1.5,37.5,11,1.83,37,91.7,10,10,"Accessories, Enamel, General, PVA Paints, Primers, Putty, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",90.9,84.6,PVA Paints:10.0%; Enamel:23.0%; Primers:5.0%; Woodcare:64.0%; Putty:37.5%; General:27.1%; QD Enamel:8.7%; Waterproofing:10.5%; Specialised Coatings:16.7%; Accessories:9.1%,5.61,78.0,False
KM001,KM001,Mega Doors and Paint  Hardware,AC,Aboo Cassim,74.7,growing,Active & Growing,🟢,3.67,2.84,2.75,71.0,8,1.33,2,66.7,10,10,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Specialised Coatings, Woodcare",90.9,81.5,PVA Paints:11.0%; Enamel:9.8%; Floor & Roof Paints:27.0%; Primers:22.5%; Woodcare:36.0%; Putty:37.5%; QD Enamel:13.5%; Accessories:15.2%; General:22.9%; Specialised Coatings:8.3%,-0.02,49.9,False
KP030,KP030,Platinum Rainbow Hardware,BV,Bhadresh Vallabh,74.5,growing,Active & Growing,🟢,1.0,1.34,1.83,33.5,9,1.5,30,75.0,10,10,"Accessories, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",90.9,84.3,PVA Paints:2.3%; QD Enamel:27.9%; General:22.9%; Floor & Roof Paints:12.2%; Primers:7.5%; Accessories:24.2%; Woodcare:24.0%; Putty:62.5%; Specialised Coatings:16.7%; Waterproofing:10.5%,18.32,100.0,False
KD001,KD001,Dainty's Wholesale Hardware,BV,Bhadresh Vallabh,74.5,growing,Active & Growing,🟢,2.67,4.18,4.33,100.0,4,0.67,16,33.3,11,11,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",100.0,96.7,PVA Paints:15.2%; Enamel:30.6%; Primers:5.0%; Waterproofing:23.7%; Woodcare:56.0%; Floor & Roof Paints:28.4%; Putty:37.5%; QD Enamel:8.7%; Accessories:21.2%; General:31.2%; Specialised Coatings:8.3%,-15.06,0.0,False
KC029,KC029,Choice Build Hardware,AP,Amit Patel,73.4,growing,Active & Growing,🟢,0.67,1.34,1.25,33.5,4,0.67,29,33.3,11,11,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",100.0,100.0,Putty:37.5%; QD Enamel:26.0%; PVA Paints:7.8%; Enamel:20.8%; Floor & Roof Paints:39.2%; Primers:22.5%; Woodcare:84.0%; General:4.2%; Accessories:18.2%; Waterproofing:13.2%; Specialised Coatings:8.3%,18.31,100.0,False
KM027,KM027/9,RANK HARDWARE,AC,Aboo Cassim,73.2,growing,Active & Growing,🟢,1.34,1.17,1.83,29.2,29,4.83,10,100.0,10,10,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, Specialised Coatings, Waterproofing, Woodcare",90.9,92.1,Putty:37.5%; PVA Paints:18.1%; Enamel:19.7%; Woodcare:72.0%; Accessories:9.1%; Primers:5.0%; Floor & Roof Paints:29.7%; General:12.5%; Waterproofing:18.4%; Specialised Coatings:8.3%,3.1,65.5,False
KS019,KS019,S.I. Hardware,NP,Nikhil Panchal,72.8,growing,Active & Growing,🟢,1.34,1.67,1.67,41.8,28,4.67,11,100.0,10,9,"Accessories, Enamel, General, PVA Paints, Primers, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",85.5,99.9,PVA Paints:5.8%; Enamel:18.0%; Waterproofing:18.4%; Woodcare:52.0%; Accessories:18.2%; QD Enamel:24.0%; Primers:17.5%; Specialised Coatings:33.3%; General:37.5%,-0.99,45.1,False
KM027,KM027/17,Discount Hardware Kanyamazane,BV,Bhadresh Vallabh,72.6,growing,Active & Growing,🟢,0.67,0.84,0.75,21.0,29,4.83,52,100.0,9,9,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Woodcare",81.8,85.1,PVA Paints:3.6%; Enamel:12.6%; Floor & Roof Paints:10.8%; Primers:5.0%; Putty:50.0%; General:35.4%; Accessories:21.2%; QD Enamel:4.8%; Woodcare:48.0%,12.67,100.0,False
KB012,KB012,Buy-Rite,NP,Nikhil Panchal,72.5,growing,Active & Growing,🟢,3.01,3.84,3.16,96.0,5,0.83,2,41.7,10,10,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",90.9,100.0,PVA Paints:16.8%; Enamel:23.5%; Primers:20.0%; Waterproofing:34.2%; Woodcare:64.0%; Accessories:30.3%; QD Enamel:16.3%; Floor & Roof Paints:20.3%; General:22.9%; Specialised Coatings:8.3%,-21.38,0.0,False
KF020,KF020,Fast Build Hardware,NP,Nikhil Panchal,72.2,growing,Active & Growing,🟢,0.67,0.5,1.25,12.5,9,1.5,29,75.0,11,10,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Waterproofing, Woodcare",94.5,96.7,PVA Paints:12.0%; Enamel:20.8%; Floor & Roof Paints:14.9%; Waterproofing:34.2%; Woodcare:68.0%; General:10.4%; Accessories:21.2%; QD Enamel:20.2%; Putty:25.0%; Primers:15.0%,98.29,100.0,False
KB038,KB038,Bob's Hardware C.C.,AC,Aboo Cassim,72.0,growing,Active & Growing,🟢,0.67,2.0,1.92,50.0,6,1.0,2,50.0,10,10,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",90.9,86.7,PVA Paints:17.2%; Primers:25.0%; Enamel:31.7%; Floor & Roof Paints:20.3%; Woodcare:44.0%; General:25.0%; Waterproofing:5.3%; Specialised Coatings:33.3%; QD Enamel:5.8%; Accessories:9.1%,5.61,78.1,False
KM127,KM127,Myka Trade 2  Mankweng,BV,Bhadresh Vallabh,71.8,growing,Active & Growing,🟢,2.67,2.67,2.5,66.8,5,0.83,23,41.7,10,9,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Woodcare",85.5,97.4,PVA Paints:9.1%; Enamel:16.9%; Woodcare:56.0%; General:27.1%; Accessories:9.1%; QD Enamel:21.2%; Primers:17.5%; Floor & Roof Paints:12.2%; Putty:50.0%,1.48,57.4,False
KP030,KP030/1,Platinum Rainbow Hardware,BV,Bhadresh Vallabh,71.2,growing,Active & Growing,🟢,0.67,1.0,1.25,25.0,9,1.5,3,75.0,11,11,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",100.0,58.3,PVA Paints:6.5%; Primers:7.5%; General:4.2%; Accessories:6.1%; QD Enamel:11.5%; Enamel:2.2%; Putty:37.5%; Woodcare:48.0%; Floor & Roof Paints:6.8%; Specialised Coatings:16.7%; Waterproofing:13.2%,45.33,100.0,False
KK021,KK021/1,Kit Kat Group (Pty) Ltd,NP,Nikhil Panchal,70.9,growing,Active & Growing,🟢,3.67,3.34,2.58,83.5,4,0.67,11,33.3,11,11,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",100.0,100.0,PVA Paints:35.0%; Enamel:26.8%; Floor & Roof Paints:33.8%; Primers:27.5%; Waterproofing:34.2%; Woodcare:80.0%; Putty:37.5%; General:45.8%; Accessories:42.4%; QD Enamel:20.2%; Specialised Coatings:25.0%,-17.52,0.0,False
KD008,KD008,Dada's World of Hardware CC,BV,Bhadresh Vallabh,70.8,growing,Active & Growing,🟢,4.01,5.01,6.0,100.0,5,0.83,9,41.7,9,9,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, QD Enamel, Specialised Coatings, Woodcare",81.8,100.0,PVA Paints:12.0%; Enamel:32.8%; Floor & Roof Paints:23.0%; Woodcare:72.0%; General:31.2%; Primers:35.0%; QD Enamel:7.7%; Accessories:18.2%; Specialised Coatings:33.3%,-12.54,0.0,False
KA055,KA055,A K Distributors (Pty) Ltd,BV,Bhadresh Vallabh,70.8,growing,Active & Growing,🟢,4.34,4.18,4.75,100.0,5,0.83,1,41.7,9,9,"Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Specialised Coatings, Woodcare",81.8,100.0,Primers:20.0%; Enamel:19.7%; Specialised Coatings:41.7%; PVA Paints:1.3%; QD Enamel:16.3%; Floor & Roof Paints:13.5%; Woodcare:48.0%; General:16.7%; Putty:87.5%,-10.7,0.0,False
KB064,KB064,Builders Hyper C.C.,AC,Aboo Cassim,70.7,growing,Active & Growing,🟢,2.0,2.84,2.58,71.0,7,1.17,2,58.3,9,9,"Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Specialised Coatings, Woodcare",81.8,86.0,PVA Paints:6.1%; Enamel:16.4%; Primers:25.0%; Woodcare:48.0%; Specialised Coatings:16.7%; Floor & Roof Paints:6.8%; Putty:37.5%; General:31.2%; QD Enamel:5.8%,-1.02,44.9,False
